# linux cli commands,category,description
# categories: see file linux_cat.csv

# each command should appear only once

lscpu;1;détails sur archi CPU;;CPU
lsusb;1;liste périphs USB;;USB
lsblk;1;liste périphs stockage "bloc"
lsdev;1;infos générales sur _hardware_
wc;4;_word count_

more;14;filtre d'affichage;less
less;14;filtre d'affichage;more
bat;14;cat en mieux;cat,tail
stat;14;détails complets sur un fichier
head;14;premières lignes texte;tail
tail;14;dernières lignes texte;head
cat;14;affiche et/ou concatene un/des fichiers
tac;14;affichage fichier à l'envers;cat

xxd;14;visualisation en hexa;od
od;14;visualisation en hexa ou octal;xxd


file;14;nature d'un fichier
touch;14;création ou MAJ date d'un fichier
shred;14;effacement en profondeur de fichier

zip;19;compression zip;gzip,unzip
unzip;19;décompression zip;zip
tar;19;utilitaire archivage;zip
gzip;19;compression zip;zip,gunzip
gunzip;19;decompression zip;gzip
bzip2;19;compression
7z;19;compression/décompression
cpio;19;manipulation d'archive

sort;8;tri de texte
chmod;5;chgt permissions fichier
chown;5;chgt propriétaire fichier;chgrp
chgrp;5;chgt groupe propriétaire fichier;chown
chage;5;_change user password expiry information_;passwd
umask;5;permissions par défaut;chmod


jobs;12;affichage des _jobs_ lancés;;jobs
fg;12;passage d'un _job_ au premier plan (_ForeGround_);bg;jobs
bg;12;passage d'un _job_ en arrière plan (_BackGround_);fg;jobs

read;16;saisie ligne (clavier ou fichier)
eval;7;exécute la commande passée en argument
time;7;chronométrage de tâche
watch;7;exécution périodique d'une commande
env;7;liste var. environnement


hostname;3;nom de la machine
ip;3;
ping;3;envoi d'un trame ICMP
wget;3;client http CLI;curl
curl;3;client multiprotocoles (wget en mieux);wget
dig;3;requete DNS;nslookup;DNS
host;3;requete DNS;dig;DNS

ifup;3;activation interface réseau
ifdown;3;désactivation interface réseau

scp;3-11;tranfert de fichiers entre machines
rsync;3-11;copie et synchronisation de fichiers entre machines

nslookup;3;requete DNS (_deprecated_);dig;DNS
netcat;3;utilitaire TCP/UDP;nc
tcpdump;3;capture trames réseau (Wireshark en CLI)
nc;3;alias pour netcat;netcat
ssh;3;Connection à une machine distante
ssh-keygen;3;Génération de clés SSH
ssh-add;3;
ssh-copy-id;3;
ufw;3; pilote CLI de Firewall 
nmap;3;exploration réseau
whois;3;infos/domaine
traceroute;3;affiche les étapes d'une requete réseau
netstat;3;infos/reseau, routage, etc.
nmcli;3;pilote CLI des connexions réseau
ftp;3;transfert de fichiers
rsync;3;transfert/backup de fichier, local ou distant
route;3;affiche ou édite la table de routage

echo;16;affichage de texte/variable;printf
printf;16;affichage de texte/variable formatté;echo
alias;4;composition de commandes;unalias
unalias;4;suppression d'un alias;alias
apt;10;gestion paquets Debian
apt-get;10;gestion paquets Debian (bas niveau)
yum;10;gestion paquets RedHat
rpm;10;gestion paquets Fedora
dpkg;10;utilitaire paquets Debian (.deb)
pip3;10;gestionnaire de paquets Python3
pip;10;gestionnaire de paquets Python (2 ou 3)
npm;10;gestionnaire de paquets Javascript

nano;7;éditeur en mode "console"
xargs;7;
sleep;7;attente;time,at
tee;7;modif redirection (stdout, stderr)
clear;7;effacement terminal
uptime;7;durée fonctionnement système
set;7;paramétrage du shell
export;7;exportation de variable dans un sous-shell
bc;7;calculatrice CLI


shuf;8;permutation aléatoire de lignes;sort
awk;8;_pattern scanning and processing language_
tr;8;_translate or delete characters_
sed;8; _Stream EDitor_
cut;8;suppression de texte dans des lignes
paste;8;fusion de lignes de texte de plusieurs fichiers
uniq;8;suppression lignes identiques
jq;8;traitement de chaines JSON;jo
split;8;Découpage d'un fichier en plusieurs morceaux
look;8;_display lines beginning with a given string_
fold;8;ajustement longueur de ligne
rev;8;inversion de texte
column;8;transformation texte en colonnes

whoami;9;qui suis-je?;id
who;9;qui est loggé?;w
w;9;qui est loggé et que fait-il?;who
passwd;9;changement pwd;chage;pwd
usermod;9;modification compte utilisateur
userdel;9;suppression compte
adduser;9;création utilisateur
addgroup;9;création groupe d'utilisateurs;adduser
useradd;9;création utilisateur (bas niveau!);adduser
id;9;affiche les infos sur un utilisateur;whoami
groups;9;affiche les groupes existants;id
groupadd;9;création groupe (bas niveau!);addgroup
last;9;historique des logins & boots;;boot
pwgen;9-20;génération de _password_;;pwd
groupmod;9;modification d'un groupe d'utilisateurs

which;7;localisation (chemin) d'un programme;locate
type;7;indique si une commande est interne (_builtin_) ou externe
tty;7;indique le terminal courant (`/dev/pts/XX`)
seq;7;_print a sequence of numbers_

depmod;13;_generates modules.dep and map files_
insmod;13;_insert a module into the kernel_
lsmod;13;_show the status of modules in the kernel_
modinfo;13;_show information about a module_
modprobe;13;_add and remove modules from the kernel_
rmmod;13;_remove a module from the kernel_
logger;17;écriture dans un log système;;logs
systemctl;13;gestion des services (CLI/systemd)
loginctl;13;_Control the systemd login manager_;systemctl
journalctl;13;outil d'accès aux logs systemd;systemctl
dmesg;13;affichage logs kernel (buffer circulaire);;logs
strace;13-17;_trace system calls and signals_
zramctl;13;paramétrage et controle de la compression RAM;;RAM

yes;7;_output a string repeatedly until killed_
tmux;7;multiplexeur de terminal;screen;terminal
screen;7;multiplexeur de terminal;tmux;terminal
date;7;affiche date & heure;cal;date
pv;7;_Pipe Viewer_ (monitoring de _pipe_ ou de copie)
cal;7;affichage calendrier;date;date

if;16;
while;16;
for;16;
exit;16;Terminaison du script et renvoi  d'une valeur à l'OS;return
source;16;exécution d'un script dans le même shell
return;16;fin de fonction;exit,function
function;16;définition d'une fonction Bash
case;16;
shift;16;décalage paramètres positionnels ($1, $2, ...)
break;16;sortie de boucle "for";for
trap;16;interception de signal POSIX
basename;16;extraction nom à partir d'un chemin

auditd;17;_Logging_ des actions système
aa-xxx;17;ensemble de commandes de gestion de <a href="https://apparmor.net/">`Apparmor`</a>
stress;17;génération de charge CPU
hey;17;_HTTP load generator_;ab
falco;17;_kernel monitoring and detection agent_;sysdig
sysdig;17-13;_Cloud-Native Application Protection Platform_;falco
ab;17;_Apache's server benchmarking tool_;hey

xclip;18;transfert vers le presse-papier X
notify-send;18;Envoi de notification au bureau
wl-paste;18;copie presse-papier (Wayland)
xinput;18;_utility to configure and test X input devices_
zenity;18;génération de dialogues GUI via CLI
xdg-open;18;ouverture fichier avec application GUI associée au type par défaut
display;18;affichage d'une image sur serveur X
showkey;18;affichage codes claviers en temps réel;xev;evtest
xev;18;affichage évènements clavier+souris;showkey,evtest
evtest;18;affichage évènements clavier+souris;showkey,xev

losetup;1;_set up and control loop devices_;lsblk
snap;10;utilitaire de controle des "snap" (Ubuntu)
findmnt;1;_find a filesystem_
mount;1;montage de partitions;umount
umount;1;démontage de partitions;mount

exiftool;11;manipulation métadonnées fichier image, audio, etc.

pango-view;20;_convert text to image_
qrencode;20;génération de qrcodes
md5sum;20;calcul de hash MD5
base64;20;encodage/décodage <a href="https://fr.wikipedia.org/wiki/Base64">base64</a>
shasum;20;calcul de hash SHA (256,512,...);sha256sum
sha256sum;20;calcul de hash SHA256
jo;20;génération de JSON;jq
cowsay;20;[lien](https://en.wikipedia.org/wiki/Cattle#/media/File:Cow_(Fleckvieh_breed)_Oeschinensee_Slaunger_2009-07-07.jpg)
uuid;20;génération de _Universally Unique IDentifier_

banner;20;affichage bannière;figlet
figlet;20;affichage bannière;toilet
toilet;20;affichage bannière;banner

